Scorecard,Ground,Margin,Match_Date,Team_1,Team_2,Winner
Twenty20,Chennai,8 wickets,"May 26, 2024",KKR,SRH,KKR
Twenty20,Chennai,36 runs,"May 24, 2024",RR,SRH,SRH
Twenty20,Ahmedabad,4 wickets,"May 22, 2024",RR,RCB,RR
Twenty20,Ahmedabad,8 wickets,"May 21, 2024",KKR,SRH,KKR
Twenty20,Guwahati,-,"May 19, 2024",RR,KKR,no result
Twenty20,Hyderabad,4 wickets,"May 19, 2024",SRH,PBKS,SRH
Twenty20,Bengaluru,27 runs,"May 18, 2024",RCB,CSK,RCB
Twenty20,Wankhede,18 runs,"May 17, 2024",MI,LSG,LSG
Twenty20,Guwahati,5 wickets,"May 15, 2024",RR,PBKS,PBKS
Twenty20,Delhi,19 runs,"May 14, 2024",DC,LSG,DC
Twenty20,Bengaluru,47 runs,"May 12, 2024",RCB,DC,RCB
Twenty20,Chennai,5 wickets,"May 12, 2024",CSK,RR,CSK
Twenty20,Eden Gardens,18 runs,"May 11, 2024",KKR,MI,KKR
Twenty20,Ahmedabad,35 runs,"May 10, 2024",GT,CSK,GT
Twenty20,Dharamsala,60 runs,"May 9, 2024",PBKS,RCB,RCB
Twenty20,Hyderabad,10 wickets,"May 8, 2024",SRH,LSG,SRH
Twenty20,Delhi,20 runs,"May 7, 2024",DC,RR,DC
Twenty20,Wankhede,7 wickets,"May 6, 2024",MI,SRH,MI
Twenty20,Lucknow,98 runs,"May 5, 2024",LSG,KKR,KKR
Twenty20,Dharamsala,28 runs,"May 5, 2024",PBKS,CSK,CSK
Twenty20,Bengaluru,4 wickets,"May 4, 2024",RCB,GT,RCB
Twenty20,Wankhede,24 runs,"May 3, 2024",MI,KKR,KKR
Twenty20,Hyderabad,1 run,"May 2, 2024",SRH,RR,SRH
Twenty20,Chennai,7 wickets,"May 1, 2024",CSK,PBKS,PBKS
Twenty20,Lucknow,4 wickets,"Apr 30, 2024",LSG,MI,LSG
Twenty20,Eden Gardens,7 wickets,"Apr 29, 2024",KKR,DC,KKR
Twenty20,Chennai,78 runs,"Apr 28, 2024",CSK,SRH,CSK
Twenty20,Ahmedabad,9 wickets,"Apr 28, 2024",GT,RCB,RCB
Twenty20,Lucknow,7 wickets,"Apr 27, 2024",LSG,RR,RR
Twenty20,Delhi,10 runs,"Apr 27, 2024",DC,MI,DC
Twenty20,Eden Gardens,8 wickets,"Apr 26, 2024",KKR,PBKS,PBKS
Twenty20,Hyderabad,35 runs,"Apr 25, 2024",SRH,RCB,RCB
Twenty20,Delhi,4 runs,"Apr 24, 2024",DC,GT,DC
Twenty20,Chennai,6 wickets,"Apr 23, 2024",CSK,LSG,LSG
Twenty20,Jaipur,9 wickets,"Apr 22, 2024",RR,MI,RR
Twenty20,Mullanpur,3 wickets,"Apr 21, 2024",PBKS,GT,GT
Twenty20,Eden Gardens,1 run,"Apr 21, 2024",KKR,RCB,KKR
Twenty20,Delhi,67 runs,"Apr 20, 2024",DC,SRH,SRH
Twenty20,Lucknow,8 wickets,"Apr 19, 2024",LSG,CSK,LSG
Twenty20,Mullanpur,9 runs,"Apr 18, 2024",PBKS,MI,MI
Twenty20,Ahmedabad,6 wickets,"Apr 17, 2024",GT,DC,DC
Twenty20,Eden Gardens,2 wickets,"Apr 16, 2024",KKR,RR,RR
Twenty20,Bengaluru,25 runs,"Apr 15, 2024",RCB,SRH,SRH
Twenty20,Wankhede,20 runs,"Apr 14, 2024",MI,CSK,CSK
Twenty20,Eden Gardens,8 wickets,"Apr 14, 2024",KKR,LSG,KKR
Twenty20,Mullanpur,3 wickets,"Apr 13, 2024",PBKS,RR,RR
Twenty20,Lucknow,6 wickets,"Apr 12, 2024",LSG,DC,DC
Twenty20,Wankhede,7 wickets,"Apr 11, 2024",MI,RCB,MI
Twenty20,Jaipur,3 wickets,"Apr 10, 2024",RR,GT,GT
Twenty20,Mullanpur,2 runs,"Apr 9, 2024",PBKS,SRH,SRH
Twenty20,Chennai,7 wickets,"Apr 8, 2024",CSK,KKR,CSK
Twenty20,Lucknow,33 runs,"Apr 7, 2024",LSG,GT,LSG
Twenty20,Wankhede,29 runs,"Apr 7, 2024",MI,DC,MI
Twenty20,Jaipur,6 wickets,"Apr 6, 2024",RR,RCB,RR
Twenty20,Hyderabad,6 wickets,"Apr 5, 2024",SRH,CSK,SRH
Twenty20,Ahmedabad,3 wickets,"Apr 4, 2024",GT,PBKS,PBKS
Twenty20,Visakhapatnam,106 runs,"Apr 3, 2024",DC,KKR,KKR
Twenty20,Bengaluru,28 runs,"Apr 2, 2024",RCB,LSG,LSG
Twenty20,Wankhede,6 wickets,"Apr 1, 2024",MI,RR,RR
Twenty20,Visakhapatnam,20 runs,"Mar 31, 2024",DC,CSK,DC
Twenty20,Ahmedabad,7 wickets,"Mar 31, 2024",GT,SRH,GT
Twenty20,Lucknow,21 runs,"Mar 30, 2024",LSG,PBKS,LSG
Twenty20,Bengaluru,7 wickets,"Mar 29, 2024",RCB,KKR,KKR
Twenty20,Jaipur,12 runs,"Mar 28, 2024",RR,DC,RR
Twenty20,Hyderabad,31 runs,"Mar 27, 2024",SRH,MI,SRH
Twenty20,Chennai,63 runs,"Mar 26, 2024",CSK,GT,CSK
Twenty20,Bengaluru,4 wickets,"Mar 25, 2024",RCB,PBKS,RCB
Twenty20,Ahmedabad,6 runs,"Mar 24, 2024",GT,MI,GT
Twenty20,Jaipur,20 runs,"Mar 24, 2024",RR,LSG,RR
Twenty20,Eden Gardens,4 runs,"Mar 23, 2024",KKR,SRH,KKR
Twenty20,Mullanpur,4 wickets,"Mar 23, 2024",PBKS,DC,PBKS
Twenty20,Chennai,6 wickets,"Mar 22, 2024",CSK,RCB,CSK
